Original Title,Cited Articles
Jammed hard-particle packings: From Kepler to Bernal and beyond,Hydrogel microparticles for biomedical applications
Jammed hard-particle packings: From Kepler to Bernal and beyond,Self-assembly of colloidal nanocrystals: from intricate structures to functional materials
Jammed hard-particle packings: From Kepler to Bernal and beyond,Hyperuniform states of matter
Jammed hard-particle packings: From Kepler to Bernal and beyond,"Concrete material science: Past, present, and future innovations"
Jammed hard-particle packings: From Kepler to Bernal and beyond,Yield stress materials in soft condensed matter
Jammed hard-particle packings: From Kepler to Bernal and beyond,Jammed micro‐flake hydrogel for four‐dimensional living cell bioprinting
Jammed hard-particle packings: From Kepler to Bernal and beyond,"Colloidal hard spheres: Triumphs, challenges, and mysteries"
Jammed hard-particle packings: From Kepler to Bernal and beyond,Discrete element models for non-spherical particle systems: From theoretical developments to applications
Jammed hard-particle packings: From Kepler to Bernal and beyond,Topological boundary modes in isostatic lattices
Jammed hard-particle packings: From Kepler to Bernal and beyond,Locally ordered representation of 3D space in the entorhinal cortex
Jammed hard-particle packings: From Kepler to Bernal and beyond,Building reconfigurable devices using complex liquid–fluid interfaces
Jammed hard-particle packings: From Kepler to Bernal and beyond,The inner workings of crustal distillation columns; the physical mechanisms and rates controlling phase separation in silicic magma reservoirs
Jammed hard-particle packings: From Kepler to Bernal and beyond,"Flow, transport, and reaction in porous media: Percolation scaling, critical‐path analysis, and effective medium approximation"
Jammed hard-particle packings: From Kepler to Bernal and beyond,Influence of particle size distribution on random close packing of spheres
Jammed hard-particle packings: From Kepler to Bernal and beyond,Particle shape effects on the stress response of granular packings
Jammed hard-particle packings: From Kepler to Bernal and beyond,Avian photoreceptor patterns represent a disordered hyperuniform solution to a multiscale packing problem
Jammed hard-particle packings: From Kepler to Bernal and beyond,Random-close packing limits for monodisperse and polydisperse hard spheres
Jammed hard-particle packings: From Kepler to Bernal and beyond,Perspective: Basic understanding of condensed phases of matter via packing models
Jammed hard-particle packings: From Kepler to Bernal and beyond,A colloidal viewpoint on the sausage catastrophe and the finite sphere packing problem
Jammed hard-particle packings: From Kepler to Bernal and beyond,A spherical harmonic-random field coupled method for efficient reconstruction of CT-image based 3D aggregates with controllable multiscale morphology
Jammed hard-particle packings: From Kepler to Bernal and beyond,Towards a description of particulate fouling: From single particle deposition to clogging
Jammed hard-particle packings: From Kepler to Bernal and beyond,Rigidity transitions in development and disease
Jammed hard-particle packings: From Kepler to Bernal and beyond,Nanostructure and nanomechanics of cement: polydisperse colloidal packing
Jammed hard-particle packings: From Kepler to Bernal and beyond,Experimental soft-matter science
Jammed hard-particle packings: From Kepler to Bernal and beyond,Elastically cooperative activated barrier hopping theory of relaxation in viscous fluids. I. General formulation and application to hard sphere fluids
Jammed hard-particle packings: From Kepler to Bernal and beyond,Pore configuration landscape of granular crystallization
Jammed hard-particle packings: From Kepler to Bernal and beyond,Elastically cooperative activated barrier hopping theory of relaxation in viscous fluids. II. Thermal liquids
Jammed hard-particle packings: From Kepler to Bernal and beyond,"Surface phonons, elastic response, and conformal invariance in twisted kagome lattices"
Jammed hard-particle packings: From Kepler to Bernal and beyond,Simple liquids' quasiuniversality and the hard-sphere paradigm
Jammed hard-particle packings: From Kepler to Bernal and beyond,Hydrogen‐Bonded Organic Frameworks Based on Endless‐Stacked Amides for Iodine Capture and Detection
Jammed hard-particle packings: From Kepler to Bernal and beyond,Jamming criticality revealed by removing localized buckling excitations
Jammed hard-particle packings: From Kepler to Bernal and beyond,Universality of the SAT-UNSAT (jamming) threshold in non-convex continuous constraint satisfaction problems
Jammed hard-particle packings: From Kepler to Bernal and beyond,On structure and properties of amorphous materials
Jammed hard-particle packings: From Kepler to Bernal and beyond,Granular materials composed of shape-anisotropic grains
Jammed hard-particle packings: From Kepler to Bernal and beyond,Surface Localization of Defects in Black TiO 2 : Enhancing Photoactivity or Reactivity
Jammed hard-particle packings: From Kepler to Bernal and beyond,Mean-field theory of random close packings of axisymmetric particles
Jammed hard-particle packings: From Kepler to Bernal and beyond,Precise algorithm to generate random sequential addition of hard hyperspheres at saturation
Jammed hard-particle packings: From Kepler to Bernal and beyond,The simplest model of jamming
Jammed hard-particle packings: From Kepler to Bernal and beyond,Universal microstructure and mechanical stability of jammed packings
Jammed hard-particle packings: From Kepler to Bernal and beyond,Maximally random jammed packings of Platonic solids: Hyperuniform long-range correlations and isostaticity
Jammed hard-particle packings: From Kepler to Bernal and beyond,Hyperuniform Long-Range Correlations are a Signature of Disordered Jammed<? format?> Hard-Particle Packings
Jammed hard-particle packings: From Kepler to Bernal and beyond,Modeling granular materials: century-long research across scales
Jammed hard-particle packings: From Kepler to Bernal and beyond,In situ formation of osteochondral interfaces through “bone-ink” printing in tailored microgel suspensions
Jammed hard-particle packings: From Kepler to Bernal and beyond,Universal spatial correlation functions for describing and reconstructing soil microstructure
Jammed hard-particle packings: From Kepler to Bernal and beyond,Exact theory of dense amorphous hard spheres in high dimension. III. The full replica symmetry breaking solution
Jammed hard-particle packings: From Kepler to Bernal and beyond,Low-energy non-linear excitations in sphere packings
Jammed hard-particle packings: From Kepler to Bernal and beyond,Random sequential adsorption: An efficient tool for investigating the deposition of macromolecules and colloidal particles
Jammed hard-particle packings: From Kepler to Bernal and beyond,Handling congestion in crowd motion modeling
Jammed hard-particle packings: From Kepler to Bernal and beyond,Revealing structural changes at glass transition via radial distribution functions
Jammed hard-particle packings: From Kepler to Bernal and beyond,Memory of jamming–multiscale models for soft and granular matter
Jammed hard-particle packings: From Kepler to Bernal and beyond,From jammed solids to mechanical metamaterials: A brief review
Jammed hard-particle packings: From Kepler to Bernal and beyond,Stratification in binary colloidal polymer films: experiment and simulations
Jammed hard-particle packings: From Kepler to Bernal and beyond,Anm: a geometrical model for the composite structure of mortar and concrete using real-shape particles
Jammed hard-particle packings: From Kepler to Bernal and beyond,Fundamental challenges in packing problems: from spherical to non-spherical particles
Jammed hard-particle packings: From Kepler to Bernal and beyond,"Plastic deformation of semicrystalline polyethylene under extension, compression, and shear using molecular dynamics simulation"
Jammed hard-particle packings: From Kepler to Bernal and beyond,Ultrahigh-pressure polyamorphism in GeO 2 glass with coordination number >6
Jammed hard-particle packings: From Kepler to Bernal and beyond,The impact of PET microplastic fibres on PVDF ultrafiltration performance–A short-term assessment of MP fouling in simple and complex matrices
Jammed hard-particle packings: From Kepler to Bernal and beyond,"Energy landscapes, inherent structures, and condensed-matter phenomena"
Jammed hard-particle packings: From Kepler to Bernal and beyond,Percolation behavior of electrically conductive graphene nanoplatelets/polymer nanocomposites: theory and experiment
Jammed hard-particle packings: From Kepler to Bernal and beyond,Applied analysis of composite media: analytical and computational results for materials scientists and engineers
Jammed hard-particle packings: From Kepler to Bernal and beyond,Estimating random close packing in polydisperse and bidisperse hard spheres via an equilibrium model of crowding
Jammed hard-particle packings: From Kepler to Bernal and beyond,Pore scale study of the influence of particle geometry on soil permeability
Jammed hard-particle packings: From Kepler to Bernal and beyond,Robust algorithm to generate a diverse class of dense disordered and ordered sphere packings via linear programming
Jammed hard-particle packings: From Kepler to Bernal and beyond,Influence of chirality and sequence in lysine-rich lipopeptide biosurfactants and micellar model colloid systems
Jammed hard-particle packings: From Kepler to Bernal and beyond,"Existence of isostatic, maximally random jammed monodisperse hard-disk packings"
Jammed hard-particle packings: From Kepler to Bernal and beyond,Maximum and minimum stable random packings of platonic solids
Jammed hard-particle packings: From Kepler to Bernal and beyond,Universality of jamming of nonspherical particles
Jammed hard-particle packings: From Kepler to Bernal and beyond,Particle shape matters–using 3D printed particles to investigate fundamental particle and packing properties
Jammed hard-particle packings: From Kepler to Bernal and beyond,Компьютерная реализация решения научно-технических и образовательных задач
Jammed hard-particle packings: From Kepler to Bernal and beyond,Numerical estimation via remeshing and analytical modeling of nonlinear elastic composites comprising a large volume fraction of randomly distributed …
Jammed hard-particle packings: From Kepler to Bernal and beyond,Photonic glass based structural color
Jammed hard-particle packings: From Kepler to Bernal and beyond,Isostaticity at frictional jamming
Jammed hard-particle packings: From Kepler to Bernal and beyond,Random scalar fields and hyperuniformity
Jammed hard-particle packings: From Kepler to Bernal and beyond,Packing and the structural transformations in liquid and amorphous oxides from ambient to extreme conditions
Jammed hard-particle packings: From Kepler to Bernal and beyond,Emergent behaviors from a cellular automaton model for invasive tumor growth in heterogeneous microenvironments
Jammed hard-particle packings: From Kepler to Bernal and beyond,Disentangling the role of structure and friction in shear jamming
Jammed hard-particle packings: From Kepler to Bernal and beyond,Shear yielding and shear jamming of dense hard sphere glasses
Jammed hard-particle packings: From Kepler to Bernal and beyond,Critical slowing down and hyperuniformity on approach to jamming
Jammed hard-particle packings: From Kepler to Bernal and beyond,An extension to Voro++ for multithreaded computation of Voronoi cells
Jammed hard-particle packings: From Kepler to Bernal and beyond,"Theoretical analysis of the structure, thermodynamics, and shear elasticity of deeply metastable hard sphere fluids"
Jammed hard-particle packings: From Kepler to Bernal and beyond,Anisotropic light transport in white beetle scales
Jammed hard-particle packings: From Kepler to Bernal and beyond,Solvation entropy made simple
Jammed hard-particle packings: From Kepler to Bernal and beyond,Disorder criterion and explicit solution for the disc random packing problem
Jammed hard-particle packings: From Kepler to Bernal and beyond,Spatial stochastic intracellular kinetics: A review of modelling approaches
Jammed hard-particle packings: From Kepler to Bernal and beyond,Hyperuniformity of maximally random jammed packings of hyperspheres across spatial dimensions
Jammed hard-particle packings: From Kepler to Bernal and beyond,Maximally dense random packings of spherocylinders
Jammed hard-particle packings: From Kepler to Bernal and beyond,The perfect glass paradigm: Disordered hyperuniform glasses down to absolute zero
Jammed hard-particle packings: From Kepler to Bernal and beyond,Glass transition and random close packing above three dimensions
Jammed hard-particle packings: From Kepler to Bernal and beyond,From hard to soft dense sphere packings: The cohesive energy of Barlow structures using exact lattice summations for a general Lennard-Jones potential
Jammed hard-particle packings: From Kepler to Bernal and beyond,Resistance is not futile: Grain resistance controls on observed critical shields stress variations
Quantum concepts in optical polarization,Polarized light and the Mueller matrix approach
Quantum concepts in optical polarization,Symmetry and quantum features in optical vortices
Quantum concepts in optical polarization,Geometric descriptions for the polarization of nonparaxial light: a tutorial
Quantum concepts in optical polarization,Intrinsic sensitivity limits for multiparameter quantum metrology
Quantum concepts in optical polarization,Nonlocality enhanced precision in quantum polarimetry via entangled photons
Quantum concepts in optical polarization,Majorana stellar representation of twisted photons
Quantum concepts in optical polarization,Rotation sensing at the ultimate limit
Quantum concepts in optical polarization,Generating a 4-photon tetrahedron state: toward simultaneous super-sensitivity to non-commuting rotations
Quantum concepts in optical polarization,Quantum field theory for coherent photons: isomorphism between Stokes parameters and spin expectation values
Quantum concepts in optical polarization,Poincare vector correlations to estimate polarization dynamics in the laser speckle
Quantum concepts in optical polarization,Metasurface-assisted quantum ghost discrimination of polarization objects
Quantum concepts in optical polarization,Relative-belief inference in quantum information theory
Quantum concepts in optical polarization,Vector photon-magnon-phonon coherence in a polarized microwave driven cavity magnomechanical system
Quantum concepts in optical polarization,Evidence-based certification of quantum dimensions
Quantum concepts in optical polarization,Majorana constellations for optical scalar beams and vector fields
Quantum concepts in optical polarization,Deterministic and multiuser quantum teleportation network of continuous-variable polarization states
Quantum concepts in optical polarization,Vector quantum steering in pulsed optomechanics
Quantum concepts in optical polarization,Sensing rotations with multiplane light conversion
Quantum concepts in optical polarization,Bridging coherence optics and classical mechanics: A generic light polarization-entanglement complementary relation
Quantum concepts in optical polarization,Quantum polarimetry
Quantum concepts in optical polarization,Nonlocal quantum differentiation between polarization objects using entanglement
Quantum concepts in optical polarization,Bidirectional Vectorial Holography Using Bi‐Layer Metasurfaces and Its Application to Optical Encryption
Quantum concepts in optical polarization,Does the degree of polarization of vector beams remain unchanged on atmospheric propagation?
Quantum concepts in optical polarization,Quantum dynamics of mixed polarization states: Effects of environment-mediated intermode coupling
Quantum concepts in optical polarization,Dielectric Sphere Oligomers as Optical Nanoantenna for Circularly Polarized Light
Quantum concepts in optical polarization,Vector optomechanical entanglement
Quantum concepts in optical polarization,On-demand polarization by a vertical-cavity surface-emitting laser with two tilted sub-wavelength gratings
Quantum concepts in optical polarization,Quantumness beyond entanglement: The case of symmetric states
Quantum concepts in optical polarization,Robust Classical and Quantum Polarimetry with a Single Nanostructured Metagrating
Quantum concepts in optical polarization,Correlations for subsets of particles in symmetric states: what photons are doing within a beam of light when the rest are ignored
Quantum concepts in optical polarization,Equivalent Mueller matrix method for 3-D axial error analysis in 2-D SoP measurement
Quantum concepts in optical polarization,"Metasurface-enabled compact, single-shot and complete mueller matrix imaging"
Quantum concepts in optical polarization,Lorentz algebraic approach in two-and three-dimensional polarization optics
Quantum concepts in optical polarization,Robust quantum metrology with random Majorana constellations
Quantum concepts in optical polarization,Quantum uncertainty of optical coherence
Quantum concepts in optical polarization,Spin-noise-induced synchronization between non-overlapping laser beams
Quantum concepts in optical polarization,Quantum estimation of the Stokes vector rotation for a general polarimetric transformation
Quantum concepts in optical polarization,Multipoles from Majorana constellations
Quantum concepts in optical polarization,Holographic multiplexing recording with an orthogonal polarized array
Quantum concepts in optical polarization,"Photonic Entanglement and Polarization Nonclassicality: Two Manifestations, One Nature"
Quantum concepts in optical polarization,Protecting quantum modes in optical fibers
